,product_names,prices,generic_product
304,Pukka Night Time Tea Bags x20,"£4.00with Nectar
£4.75£23.75 / 100g",BRITISH%20SEMI%20SKIMMED%20MILK%201.136L
305,Pukka Peppermint & Licorice Tea Bags x20,"£4.00with Nectar
£4.75£15.83 / 100g",BRITISH%20SEMI%20SKIMMED%20MILK%201.136L
306,"Pukka Organic Lemon, Ginger & Manuka Honey Tea Bags x 20","£4.00with Nectar
£4.75£13.19 / 100g",BRITISH%20SEMI%20SKIMMED%20MILK%201.136L
307,Pukka Chamomile Vanilla & Manuka Honey Tea Bags x20,"£4.00with Nectar
£4.75£9.90 / 100g",BRITISH%20SEMI%20SKIMMED%20MILK%201.136L
308,Sainsbury's Extra Fine Beans 200g,"£1.20with Nectar
£1.50£7.50 / kg",EXTRA%20FINE%20BEANS%20200G
309,Sainsbury's Fine Green Beans 200g,"90pwith Nectar
£1.25£6.25 / kg",EXTRA%20FINE%20BEANS%20200G
310,Sainsbury's Fine Beans & Tenderstem Broccoli 200g,£2.15£10.75 / kg,EXTRA%20FINE%20BEANS%20200G
311,Schweppes Slimline Tonic Water 1L,"£1.30with Nectar
£1.7518p / 100ml",EXTRA%20FINE%20BEANS%20200G
312,Coca-Cola Zero Sugar 24x330ml,£10.7514p / 100ml,EXTRA%20FINE%20BEANS%20200G
313,Diet Coke 24x330ml,£10.7514p / 100ml,EXTRA%20FINE%20BEANS%20200G
314,Schweppes Slimline Tonic Water 12x150ml,"£3.75with Nectar
£5.5531p / 100ml",EXTRA%20FINE%20BEANS%20200G
315,Sainsbury's Satsumas 600g,£1.35£2.25 / kg,EASY%20PEELER%20ORANGES
316,Sainsbury's Tangerines 600g,£1.50£2.50 / kg,EASY%20PEELER%20ORANGES
317,"Sainsbury's Easy Peelers, Taste the Difference 600g","£1.00with Nectar
£2.00£3.33 / kg",EASY%20PEELER%20ORANGES
318,Sainsbury's Easy Peelers 600g,"95pwith Nectar
£1.35£2.25 / kg",EASY%20PEELER%20ORANGES
319,Stamford Street Co. Easy Peelers,95p£1.58 / kg,EASY%20PEELER%20ORANGES
320,"Sainsbury's Easy Peeler Box, Taste the Difference 2.3kg","£3.50with Nectar
£4.00£1.74 / kg",EASY%20PEELER%20ORANGES
321,SO Organic Easy Peelers min 500g,£1.60£1.60 / ea,EASY%20PEELER%20ORANGES
322,Sainsbury's Easy Peeler (each),30p30p / ea,EASY%20PEELER%20ORANGES
323,Schweppes Slimline Tonic Water 1L,"£1.30with Nectar
£1.7518p / 100ml",EASY%20PEELER%20ORANGES
324,Coca-Cola Zero Sugar 24x330ml,£10.7514p / 100ml,EASY%20PEELER%20ORANGES
325,Diet Coke 24x330ml,£10.7514p / 100ml,EASY%20PEELER%20ORANGES
326,Schweppes Slimline Tonic Water 12x150ml,"£3.75with Nectar
£5.5531p / 100ml",EASY%20PEELER%20ORANGES
